File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Algorithm.cs,72,64,33,7,8,3,0,9,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Algorithm_base.cs,113,82,51,3,24,9,7,62,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\BoolToVisibilityConverter.cs,27,23,15,1,4,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\City_data.cs,130,110,58,11,20,1,0,2,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\City_list.cs,228,211,123,41,17,5,0,37,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Cost_Time_Dependency_Data.cs,36,25,17,0,11,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Path.cs,30,25,17,0,5,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Path_data.cs,52,43,25,2,9,1,0,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\ACO.cs,432,349,204,49,31,21,52,299,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\Ant.cs,109,94,50,14,14,3,1,24,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\BestWorstAnt.cs,95,89,49,18,4,8,2,60,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\Edge.cs,25,19,11,0,6,1,0,4,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\EtilistAnt.cs,97,89,49,17,4,7,4,74,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\MinMaxAnt.cs,110,98,52,17,9,6,3,46,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\RankBasedAnt.cs,105,98,56,18,4,8,3,73,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\GeneticAlgorithm.cs,345,302,168,34,32,9,11,65,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\GA\genome.cs,148,134,70,28,14,5,0,18,0,0
