File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\App.xaml.cs,18,13,9,0,2,0,3,9,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\closebuttonControl.xaml.cs,26,22,16,0,1,0,3,9,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\MainWindow.xaml.cs,762,686,507,51,48,27,28,204,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\MainWindow_creator.cs,435,404,247,53,21,12,10,74,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\MainWindow_executor.cs,325,294,193,31,17,19,14,139,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\MainWindow_executor_ant.cs,569,474,333,42,41,26,54,248,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\MainWindow_executor_ga.cs,740,684,442,70,38,17,18,88,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\MainWindow_report.cs,492,465,282,63,16,6,11,47,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\secondary_display_data.cs,17,15,11,0,2,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\WLoading.xaml.cs,68,55,37,0,7,0,6,22,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\App.xaml,15,14,0,0,1,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\closebuttonControl.xaml,50,49,0,0,1,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\MainWindow.xaml,866,848,8,0,18,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\ResourceDictionary.xaml,72,72,0,0,0,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\WLoading.xaml,883,882,0,0,1,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Algorithm.cs,75,67,36,7,8,3,0,9,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Algorithm_base.cs,143,108,68,3,28,9,7,62,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\BoolToVisibilityConverter.cs,27,23,15,1,4,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\City_data.cs,130,110,58,11,20,1,0,2,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\City_list.cs,228,211,123,41,17,5,0,37,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Cost_Time_Dependency_Data.cs,36,25,17,0,11,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Path.cs,30,25,17,0,5,0,0,0,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Path_data.cs,52,43,25,2,9,1,0,1,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\ACO.cs,515,429,246,63,31,21,55,311,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\Ant.cs,109,94,50,14,14,3,1,24,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\BestWorstAnt.cs,103,98,54,20,4,7,1,50,0,0
D:\work\Final Project\AI Algorithm Simulator\AI Algorithm Simulator\classes\Ant\Edge.cs,25,19,11,0,6,1,0,4,0,0
